民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,113年01月01日至113年03月31日,112年01月01日至112年03月31日,112年01月01日至112年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,25249608.0,100.0,27073084.0,100.0,
營業成本合計,21653587.0,85.76,23860047.0,88.13,
營業毛利（毛損）,3596021.0,14.24,3213037.0,11.87,
營業毛利（毛損）淨額,3596021.0,14.24,3213037.0,11.87,
營業費用,,,,,
推銷費用,1587933.0,6.29,1524221.0,5.63,
管理費用,653014.0,2.59,578067.0,2.14,
研究發展費用,40440.0,0.16,40873.0,0.15,
預期信用減損損失（利益）,58138.0,0.23,-392.0,0.0,
營業費用合計,2339525.0,9.27,2142769.0,7.91,
營業利益（損失）,1256496.0,4.98,1070268.0,3.95,
營業外收入及支出,,,,,
其他收入,24300.0,0.1,13777.0,0.05,
其他利益及損失淨額,205354.0,0.81,160875.0,0.59,
財務成本淨額,156553.0,0.62,176123.0,0.65,
採用權益法認列之關聯企業及合資損益之份額淨額,32240.0,0.13,-733.0,0.0,
營業外收入及支出合計,105341.0,0.42,-2204.0,-0.01,
稅前淨利（淨損）,1361837.0,5.39,1068064.0,3.95,
所得稅費用（利益）合計,240094.0,0.95,173773.0,0.64,
繼續營業單位本期淨利（淨損）,1121743.0,4.44,894291.0,3.3,
本期淨利（淨損）,1121743.0,4.44,894291.0,3.3,
其他綜合損益(淨額),,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,80437.0,0.32,134062.0,0.5,
與不重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,
不重分類至損益之項目：,80437.0,0.32,134062.0,0.5,
國外營運機構財務報表換算之兌換差額,566272.0,2.24,95918.0,0.35,
後續可能重分類至損益之項目：,566272.0,2.24,95918.0,0.35,
其他綜合損益（淨額）,646709.0,2.56,229980.0,0.85,
本期綜合損益總額,1768452.0,7.0,1124271.0,4.15,
淨利（損）歸屬於：,,,,,
母公司業主（淨利∕損）,845999.0,3.35,761814.0,2.81,
非控制權益（淨利∕損）,275744.0,1.09,132477.0,0.49,
母公司業主（綜合損益）,1278507.0,5.06,937293.0,3.46,
非控制權益（綜合損益）,489945.0,1.94,186978.0,0.69,
基本每股盈餘,,,,,
基本每股盈餘,1.0,,0.9,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,1.0,,0.9,,
