民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,113年01月01日至113年03月31日,112年01月01日至112年03月31日,112年01月01日至112年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,5334450.0,100.0,4789271.0,100.0,
營業成本合計,3850093.0,72.17,3493627.0,72.95,
營業毛利（毛損）,1484357.0,27.83,1295644.0,27.05,
營業毛利（毛損）淨額,1484357.0,27.83,1295644.0,27.05,
營業費用,,,,,
推銷費用,1051917.0,19.72,939813.0,19.62,
管理費用,215202.0,4.03,197073.0,4.11,
研究發展費用,57718.0,1.08,49675.0,1.04,
預期信用減損損失（利益）,1528.0,0.03,-11.0,0.0,
營業費用合計,1326365.0,24.86,1186550.0,24.78,
營業利益（損失）,157992.0,2.96,109094.0,2.28,
營業外收入及支出,,,,,
利息收入,6801.0,0.13,3905.0,0.08,
其他收入,62814.0,1.18,131033.0,2.74,
其他利益及損失淨額,-9886.0,-0.19,-41005.0,-0.86,
財務成本淨額,34775.0,0.65,38943.0,0.81,
採用權益法認列之關聯企業及合資損益之份額淨額,-118.0,0.0,-253.0,-0.01,
營業外收入及支出合計,24836.0,0.47,54737.0,1.14,
稅前淨利（淨損）,182828.0,3.43,163831.0,3.42,
所得稅費用（利益）合計,51269.0,0.96,35784.0,0.75,
繼續營業單位本期淨利（淨損）,131559.0,2.47,128047.0,2.67,
本期淨利（淨損）,131559.0,2.47,128047.0,2.67,
其他綜合損益(淨額),,,,,
國外營運機構財務報表換算之兌換差額,118482.0,2.22,15708.0,0.33,
與可能重分類之項目相關之所得稅,0.0,0.0,286.0,0.01,
後續可能重分類至損益之項目：,118482.0,2.22,15422.0,0.32,
其他綜合損益（淨額）,118482.0,2.22,15422.0,0.32,
本期綜合損益總額,250041.0,4.69,143469.0,3.0,
淨利（損）歸屬於：,,,,,
母公司業主（淨利∕損）,131329.0,2.46,127801.0,2.67,
非控制權益（淨利∕損）,230.0,0.0,246.0,0.01,
母公司業主（綜合損益）,249811.0,4.68,143209.0,2.99,
非控制權益（綜合損益）,230.0,0.0,260.0,0.01,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.26,,0.25,,
基本每股盈餘,0.26,,0.25,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.26,,0.25,,
稀釋每股盈餘,0.26,,0.25,,
