民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年03月31日,113年03月31日,112年12月31日,112年12月31日,112年03月31日,112年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,2256.0,0.28,1125.0,0.14,8478.0,0.82,,
應收帳款淨額,748.0,0.09,704.0,0.09,0.0,0.0,,
應收帳款－關係人淨額,24825.0,3.04,3446.0,0.42,77943.0,7.55,,
其他應收款淨額,1780.0,0.22,170.0,0.02,580.0,0.06,,
其他應收款－關係人淨額,3103.0,0.38,3103.0,0.38,5616.0,0.54,,
本期所得稅資產,46.0,0.01,46.0,0.01,110.0,0.01,,
存貨,14691.0,1.8,14216.0,1.74,16321.0,1.58,,
預付款項,7540.0,0.92,9836.0,1.2,6236.0,0.6,,
流動資產合計,54989.0,6.73,32646.0,3.98,115284.0,11.17,,
非流動資產,,,,,,,,
不動產、廠房及設備,524093.0,64.14,545527.0,66.58,654962.0,63.44,,
遞延所得稅資產,6158.0,0.75,5419.0,0.66,13407.0,1.3,,
其他非流動資產,231807.0,28.37,235733.0,28.77,248754.0,24.09,,
非流動資產合計,762058.0,93.27,786679.0,96.02,917123.0,88.83,,
資產總額,817047.0,100.0,819325.0,100.0,1032407.0,100.0,,
流動負債,,,,,,,,
應付票據,13781.0,1.69,15647.0,1.91,6874.0,0.67,,
應付帳款,3481.0,0.43,7588.0,0.93,36464.0,3.53,,
應付帳款－關係人,5501.0,0.67,1446.0,0.18,14256.0,1.38,,
其他應付款,21863.0,2.68,29737.0,3.63,43821.0,4.24,,
其他應付款項－關係人,54603.0,6.68,25360.0,3.1,49048.0,4.75,,
本期所得稅負債,35030.0,4.29,33319.0,4.07,22849.0,2.21,,
其他流動負債,432977.0,52.99,441718.0,53.91,48949.0,4.74,,
流動負債合計,567236.0,69.43,554815.0,67.72,222261.0,21.53,,
非流動負債,,,,,,,,
長期借款,4740.0,0.58,5555.0,0.68,431547.0,41.8,,
遞延所得稅負債,30839.0,3.77,30839.0,3.76,30841.0,2.99,,
其他非流動負債,11561.0,1.41,910.0,0.11,1098.0,0.11,,
非流動負債合計,47140.0,5.77,37304.0,4.55,463486.0,44.89,,
負債總額,614376.0,75.19,592119.0,72.27,685747.0,66.42,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,566226.0,69.3,566226.0,69.11,566226.0,54.85,,
股本合計,566226.0,69.3,566226.0,69.11,566226.0,54.85,,
資本公積,,,,,,,,
資本公積－發行溢價,21938.0,2.69,21938.0,2.68,21938.0,2.12,,
資本公積合計,21938.0,2.69,21938.0,2.68,21938.0,2.12,,
保留盈餘,,,,,,,,
法定盈餘公積,19091.0,2.34,19091.0,2.33,19091.0,1.85,,
特別盈餘公積,36208.0,4.43,36208.0,4.42,36208.0,3.51,,
未分配盈餘（或待彌補虧損）,-440642.0,-53.93,-416095.0,-50.79,-296634.0,-28.73,,
保留盈餘合計,-385343.0,-47.16,-360796.0,-44.04,-241335.0,-23.38,,
其他權益,,,,,,,,
其他權益合計,-150.0,-0.02,-162.0,-0.02,-169.0,-0.02,,
歸屬於母公司業主之權益合計,202671.0,24.81,227206.0,27.73,346660.0,33.58,,
權益總額,202671.0,24.81,227206.0,27.73,346660.0,33.58,,
負債及權益總計,817047.0,100.0,819325.0,100.0,1032407.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
