民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,113年01月01日至113年03月31日,112年01月01日至112年03月31日,112年01月01日至112年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,6912107.0,100.0,7232070.0,100.0,
營業成本合計,5822404.0,84.23,6207122.0,85.83,
營業毛利（毛損）,1089703.0,15.77,1024948.0,14.17,
營業毛利（毛損）淨額,1089703.0,15.77,1024948.0,14.17,
營業費用,,,,,
推銷費用,335484.0,4.85,311996.0,4.31,
管理費用,227652.0,3.29,174839.0,2.42,
預期信用減損損失（利益）,565.0,0.01,2156.0,0.03,
營業費用合計,563701.0,8.16,488991.0,6.76,
其他收益及費損淨額,,,,,
其他收益及費損淨額,-11880.0,-0.17,25487.0,0.35,
營業利益（損失）,514122.0,7.44,561444.0,7.76,
營業外收入及支出,,,,,
利息收入,207.0,0.0,63.0,0.0,
其他收入,2549.0,0.04,3442.0,0.05,
其他利益及損失淨額,5006.0,0.07,7521.0,0.1,
財務成本淨額,55769.0,0.81,56544.0,0.78,
採用權益法認列之關聯企業及合資損益之份額淨額,-2422.0,-0.04,-1652.0,-0.02,
營業外收入及支出合計,-50429.0,-0.73,-47170.0,-0.65,
稅前淨利（淨損）,463693.0,6.71,514274.0,7.11,
所得稅費用（利益）合計,93658.0,1.35,103448.0,1.43,
繼續營業單位本期淨利（淨損）,370035.0,5.35,410826.0,5.68,
本期淨利（淨損）,370035.0,5.35,410826.0,5.68,
其他綜合損益(淨額),,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-236027.0,-3.41,-348409.0,-4.82,
與不重分類之項目相關之所得稅,-18271.0,-0.26,-26799.0,-0.37,
不重分類至損益之項目：,-217756.0,-3.15,-321610.0,-4.45,
國外營運機構財務報表換算之兌換差額,52192.0,0.76,-16335.0,-0.23,
後續可能重分類至損益之項目：,52192.0,0.76,-16335.0,-0.23,
其他綜合損益（淨額）,-165564.0,-2.4,-337945.0,-4.67,
本期綜合損益總額,204471.0,2.96,72881.0,1.01,
淨利（損）歸屬於：,,,,,
母公司業主（淨利∕損）,369093.0,5.34,422306.0,5.84,
非控制權益（淨利∕損）,942.0,0.01,-11480.0,-0.16,
母公司業主（綜合損益）,203529.0,2.94,84361.0,1.17,
非控制權益（綜合損益）,942.0,0.01,-11480.0,-0.16,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,1.25,,1.43,,
基本每股盈餘,1.25,,1.43,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,1.25,,1.43,,
稀釋每股盈餘,1.25,,1.43,,
