民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,113年01月01日至113年03月31日,112年01月01日至112年03月31日,112年01月01日至112年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入,1543210.0,99.06,1561180.0,99.06,
銷貨收入淨額,1543210.0,99.06,1561180.0,99.06,
租賃收入,14612.0,0.94,14851.0,0.94,
租賃收入,14612.0,0.94,14851.0,0.94,
勞務收入,0.0,0.0,0.0,0.0,
營業收入合計,1557822.0,100.0,1576031.0,100.0,
銷貨成本,1017855.0,65.34,1159327.0,73.56,
租賃成本,8266.0,0.53,9571.0,0.61,
租賃成本,8266.0,0.53,9571.0,0.61,
營業成本合計,1026121.0,65.87,1168898.0,74.17,
營業毛利（毛損）,531701.0,34.13,407133.0,25.83,
未實現銷貨（損）益,0.0,0.0,0.0,0.0,
已實現銷貨（損）益,0.0,0.0,0.0,0.0,
營業毛利（毛損）淨額,531701.0,34.13,407133.0,25.83,
營業費用,,,,,
推銷費用,165172.0,10.6,166479.0,10.56,
管理費用,70914.0,4.55,68968.0,4.38,
研究發展費用,2051.0,0.13,1927.0,0.12,
預期信用減損損失（利益）,978.0,0.06,496.0,0.03,
營業費用合計,239115.0,15.35,237870.0,15.09,
營業利益（損失）,292586.0,18.78,169263.0,10.74,
營業外收入及支出,,,,,
利息收入,13369.0,0.86,9904.0,0.63,
其他收入,0.0,0.0,0.0,0.0,
其他利益及損失淨額,30245.0,1.94,-233.0,-0.01,
除列按攤銷後成本衡量金融資產淨損益,0.0,0.0,0.0,0.0,
財務成本淨額,5003.0,0.32,5454.0,0.35,
採用權益法認列之關聯企業及合資損益之份額淨額,-1560.0,-0.1,-800.0,-0.05,
營業外收入及支出合計,37051.0,2.38,3417.0,0.22,
稅前淨利（淨損）,329637.0,21.16,172680.0,10.96,
所得稅費用（利益）合計,88087.0,5.65,49438.0,3.14,
繼續營業單位本期淨利（淨損）,241550.0,15.51,123242.0,7.82,
本期淨利（淨損）,241550.0,15.51,123242.0,7.82,
其他綜合損益(淨額),,,,,
確定福利計畫之再衡量數,-5180.0,-0.33,0.0,0.0,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-28.0,0.0,17882.0,1.13,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,0.0,0.0,0.0,0.0,
不重分類至損益之項目：,-5208.0,-0.33,17882.0,1.13,
國外營運機構財務報表換算之兌換差額,-32213.0,-2.07,5646.0,0.36,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,0.0,0.0,0.0,0.0,
後續可能重分類至損益之項目：,-32213.0,-2.07,5646.0,0.36,
其他綜合損益（淨額）,-37421.0,-2.4,23528.0,1.49,
本期綜合損益總額,204129.0,13.1,146770.0,9.31,
淨利（損）歸屬於：,,,,,
母公司業主（淨利∕損）,152334.0,9.78,77899.0,4.94,
非控制權益（淨利∕損）,89216.0,5.73,45343.0,2.88,
母公司業主（綜合損益）,140008.0,8.99,97292.0,6.17,
非控制權益（綜合損益）,64121.0,4.12,49478.0,3.14,
基本每股盈餘,,,,,
基本每股盈餘,0.64,,0.33,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.64,,0.33,,
