民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,113年01月01日至113年03月31日,112年01月01日至112年03月31日,112年01月01日至112年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,1159178.0,100.0,1171271.0,100.0,
營業收入合計,1159178.0,100.0,1171271.0,100.0,
銷貨成本,827320.0,71.37,853661.0,72.88,
營業成本合計,827320.0,71.37,853661.0,72.88,
營業毛利（毛損）,331858.0,28.63,317610.0,27.12,
營業毛利（毛損）淨額,331858.0,28.63,317610.0,27.12,
營業費用,,,,,
推銷費用,193309.0,16.68,186180.0,15.9,
管理費用,77063.0,6.65,72772.0,6.21,
研究發展費用,14396.0,1.24,10275.0,0.88,
預期信用減損損失（利益）,89.0,0.01,89.0,0.01,
營業費用合計,284857.0,24.57,269316.0,22.99,
營業利益（損失）,47001.0,4.05,48294.0,4.12,
營業外收入及支出,,,,,
利息收入,174.0,0.02,197.0,0.02,
其他收入,10259.0,0.89,10591.0,0.9,
其他利益及損失淨額,27023.0,2.33,11343.0,0.97,
財務成本淨額,31371.0,2.71,31236.0,2.67,
採用權益法認列之關聯企業及合資損益之份額淨額,47506.0,4.1,44099.0,3.77,
營業外收入及支出合計,53591.0,4.62,34994.0,2.99,
稅前淨利（淨損）,100592.0,8.68,83288.0,7.11,
所得稅費用（利益）合計,16763.0,1.45,13010.0,1.11,
繼續營業單位本期淨利（淨損）,83829.0,7.23,70278.0,6.0,
本期淨利（淨損）,83829.0,7.23,70278.0,6.0,
其他綜合損益(淨額),,,,,
不動產重估增值,0.0,0.0,87587.0,7.48,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,58348.0,5.03,23661.0,2.02,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,178786.0,15.42,80656.0,6.89,
與不重分類之項目相關之所得稅,0.0,0.0,929.0,0.08,
不重分類至損益之項目：,237134.0,20.46,190975.0,16.3,
國外營運機構財務報表換算之兌換差額,40123.0,3.46,-2583.0,-0.22,
透過其他綜合損益按公允價值衡量之債務工具投資未實現評價損益,-3000.0,-0.26,-2050.0,-0.18,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,6865.0,0.59,-282.0,-0.02,
與可能重分類之項目相關之所得稅,849.0,0.07,-505.0,-0.04,
後續可能重分類至損益之項目：,43139.0,3.72,-4410.0,-0.38,
其他綜合損益（淨額）,280273.0,24.18,186565.0,15.93,
本期綜合損益總額,364102.0,31.41,256843.0,21.93,
淨利（損）歸屬於：,,,,,
母公司業主（淨利∕損）,79098.0,6.82,65814.0,5.62,
非控制權益（淨利∕損）,4731.0,0.41,4464.0,0.38,
母公司業主（綜合損益）,351866.0,30.35,251315.0,21.46,
非控制權益（綜合損益）,12236.0,1.06,5528.0,0.47,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.16,,0.13,,
停業單位淨利（淨損）,0.0,,0.0,,
基本每股盈餘,0.16,,0.13,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.16,,0.13,,
停業單位淨利（淨損）,0.0,,0.0,,
稀釋每股盈餘,0.16,,0.13,,
